Metadata;Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa)
File Format Version=6;4222555354620;1649435685398437;0;21599;1;0;1555.000000;36944;32640;31935;33103;32848;32687;29940;34127;31914;0;0;9.782156;-0.162533;-1.543839;0.060837;-0.026021;-0.014052;-45.852335;27.386421;-12.870282;-0.617818;0.246659;0.719143;0.200732;30.444126;0.000000;4222555354620;1649435685398437;0;1119;1;0;1578.000000;36960;32624;31919;28655;34528;32815;28694;34269;31271;0;0;9.869193;-0.538793;-1.355374;-0.091410;0.092573;-0.032781;-67.876925;10.541864;-25.330626;0.615440;0.261892;-0.702796;0.242329;30.191289;0.000000;4222555354620;1649435685398437;0;42071;1;0;1658.000000;33856;45680;34255;32879;33072;32703;33043;30337;27896;0;0;0.647653;9.625727;1.351186;0.067168;0.177809;-0.012201;-5.098022;-31.214331;-65.598507;0.624741;0.518004;-0.404355;-0.421744;26.154381;0.000000;4222555354620;1649435685398437;0;1119;1;0;1659.000000;37136;32864;32287;32607;33056;32751;30109;32708;34538;0;0;9.948531;0.476947;-1.277832;-0.083698;0.011000;-0.014344;-48.293197;-0.908239;17.261286;-0.500439;-0.520961;0.535920;-0.436978;30.453172;0.000000;4222555354620;1649435685398437;0;54359;1;0;1672.000000;45872;33648;32047;31807;33488;32703;29192;30879;34390;0;0;9.983501;0.513827;-0.382472;-0.096096;0.082311;-0.014768;-54.338053;-20.904759;15.329140;-0.375751;-0.623945;0.347947;-0.590285;30.257171;0.000000;4222555354620;1649435685398437;0;13407;1;0;1613.000000;33744;28608;33215;30751;32320;32719;30816;39337;33349;0;0;2.134662;-9.353300;1.990713;-0.034974;0.016561;-0.024881;-36.122298;84.957630;2.731246;-0.202160;0.296640;-0.558094;0.748109;26.047548;0.000000
Monitor Case IDs= :SI-000510:SI-000512:SI-000513:SI-000583:SI-000584:SI-000693;4222555354640;1649435685406250;0;42079;1;1;1555.000000;36944;32640;31951;33103;32864;32687;29924;34127;31930;0;0;9.782124;-0.162532;-1.507499;0.060817;-0.000364;-0.014450;-46.116972;27.528377;-12.874793;-0.617885;0.246630;0.719096;0.200729;30.444126;0.000000;4222555354640;1649435685406250;0;21599;1;1;1578.000000;36960;32624;31919;28655;34512;32815;28710;34269;31287;0;0;9.869193;-0.538793;-1.355374;-0.091619;0.066274;-0.032772;-67.883830;10.777213;-25.203084;0.615422;0.261927;-0.702805;0.242313;30.191289;0.000000;4222555354640;1649435685406250;0;62551;1;1;1658.000000;33872;45680;34255;32879;33072;32703;33043;30337;27896;0;0;0.659706;9.625542;1.351202;0.067168;0.177809;-0.012201;-4.933721;-31.084166;-65.280839;0.624702;0.517953;-0.404411;-0.421811;26.154381;0.000000;4222555354640;1649435685406250;0;25695;1;1;1660.000000;37120;32864;32287;32607;33056;32751;30109;32724;34538;0;0;9.913356;0.479758;-1.277816;-0.082746;0.009739;-0.014979;-48.460316;-0.860202;17.263599;-0.500393;-0.521012;0.535907;-0.436986;30.654582;0.000000;4222555354640;1649435685406250;0;9303;1;1;1672.000000;45856;33616;32031;31823;33488;32703;29192;30831;34406;0;0;9.971816;0.490064;-0.394479;-0.070968;0.082169;-0.014861;-54.333267;-20.909779;15.334355;-0.375656;-0.624007;0.347901;-0.590307;30.257171;0.000000;4222555354640;1649435685406250;0;33887;1;1;1613.000000;33744;28608;33215;30751;32320;32719;30784;39337;33333;0;0;2.134662;-9.353300;1.990713;-0.034974;0.016561;-0.024881;-35.978665;84.952297;2.887325;-0.202136;0.296652;-0.558059;0.748137;26.047548;0.000000
Monitor Labels= ::::::;4222555354660;1649435685414062;0;62559;1;2;1556.000000;36928;32624;31951;33087;32848;32687;29940;34127;31930;0;0;9.747102;-0.197923;-1.508445;0.032693;-0.027785;-0.013859;-46.093603;27.373601;-12.981332;-0.617849;0.246692;0.719092;0.200777;30.659026;0.000000;4222555354660;1649435685414062;0;37983;1;2;1578.000000;36944;32624;31935;28655;34512;32815;28678;34285;31287;0;0;9.832623;-0.538268;-1.319357;-0.091619;0.066274;-0.032772;-67.752803;10.768398;-25.188814;0.615403;0.261961;-0.702814;0.242298;30.191289;0.000000;4222555354660;1649435685414062;0;17495;1;2;1659.000000;33872;45696;34255;32879;33072;32703;33043;30321;27896;0;0;0.659815;9.638083;1.351359;0.067140;0.174512;-0.013211;-5.074082;-31.062282;-65.600108;0.624709;0.517950;-0.404406;-0.421807;26.363004;0.000000;4222555354660;1649435685414062;0;37983;1;2;1659.000000;37120;32848;32287;32607;33056;32751;30077;32708;34570;0;0;9.913159;0.441988;-1.277790;-0.083698;0.011000;-0.014344;-48.327457;-1.241294;17.554294;-0.500349;-0.521058;0.535894;-0.436998;30.453172;0.000000;4222555354660;1649435685414062;0;25687;1;2;1672.000000;45824;33616;32015;31823;33488;32703;29176;30863;34390;0;0;9.947627;0.490489;-0.406508;-0.070968;0.082169;-0.014861;-54.361145;-20.909729;15.356909;-0.375561;-0.624069;0.347855;-0.590329;30.257171;0.000000;4222555354660;1649435685414062;0;50271;1;2;1613.000000;33744;28608;33215;30751;32320;32719;30800;39353;33349;0;0;2.134662;-9.353300;1.990713;-0.034974;0.016561;-0.024881;-35.971705;85.004233;2.887008;-0.202113;0.296664;-0.558025;0.748164;26.047548;0.000000
Version String1=APDM Inc.;4222555354680;1649435685421875;0;9311;1;3;1555.000000;36928;32624;31951;33087;32848;32687;29924;34127;31914;0;0;9.746269;-0.197908;-1.507468;0.035113;-0.026056;-0.013591;-45.958947;27.367118;-13.117650;-0.617820;0.246747;0.719086;0.200820;30.444126;0.000000;4222555354680;1649435685421875;0;58463;1;3;1579.000000;36960;32640;31935;28655;34528;32815;28694;34269;31271;0;0;9.869398;-0.501168;-1.319415;-0.091754;0.090191;-0.033755;-67.774376;10.583306;-25.350081;0.615451;0.261975;-0.702764;0.242304;30.396243;0.000000;4222555354680;1649435685421875;0;37975;1;3;1660.000000;33856;45696;34239;32879;33072;32703;33059;30305;27928;0;0;0.648040;9.638865;1.339409;0.067112;0.171215;-0.014220;-5.181165;-31.324852;-65.708708;0.624710;0.517943;-0.404408;-0.421813;26.571627;0.000000;4222555354680;1649435685421875;0;50271;1;3;1659.000000;37104;32848;32287;32607;33072;32751;30093;32724;34554;0;0;9.877235;0.442546;-1.277766;-0.083511;0.036266;-0.014042;-48.194021;-1.348901;17.521918;-0.500357;-0.521060;0.535832;-0.437061;30.453172;0.000000;4222555354680;1649435685421875;0;37975;1;3;1672.000000;45872;33616;31999;31823;33488;32703;29192;30879;34422;0;0;9.983858;0.489853;-0.418429;-0.070968;0.082169;-0.014861;-54.221462;-20.905435;15.236125;-0.375468;-0.624130;0.347810;-0.590350;30.257171;0.000000;4222555354680;1649435685421875;0;62559;1;3;1612.000000;33744;28608;33231;30751;32320;32719;30800;39353;33349;0;0;2.133232;-9.353307;2.026005;-0.034977;0.017128;-0.024496;-36.153851;84.739012;2.732557;-0.202089;0.296674;-0.557991;0.748192;25.849430;0.000000
Version String2=2016-10-04-3cdef2ce2a3717c4e8eddcd0e0bd391ede8550fd;4222555354700;1649435685429687;0;29791;1;4;1556.000000;36928;32624;31951;33103;32848;32687;29924;34127;31914;0;0;9.747102;-0.197923;-1.508445;0.058418;-0.027750;-0.014320;-46.009624;27.528019;-12.978387;-0.617808;0.246746;0.719103;0.200798;30.659026;0.000000;4222555354700;1649435685429687;0;5215;1;4;1578.000000;36960;32656;31935;28671;34512;32815;28694;34269;31271;0;0;9.868078;-0.466257;-1.319431;-0.066814;0.066228;-0.032305;-67.749263;10.909057;-25.218498;0.615407;0.262068;-0.702750;0.242357;30.191289;0.000000;4222555354700;1649435685429687;0;50263;1;4;1659.000000;33872;45680;34255;32879;33056;32703;33027;30337;27928;0;0;0.659999;9.626136;1.351360;0.066929;0.149234;-0.013333;-5.176921;-31.301786;-65.539170;0.624678;0.517898;-0.404465;-0.421861;26.363004;0.000000;4222555354700;1649435685429687;0;5215;1;4;1659.000000;37120;32864;32287;32623;33056;32751;30109;32724;34554;0;0;9.912607;0.477506;-1.277808;-0.058244;0.011144;-0.013781;-48.354103;-1.077822;17.387030;-0.500262;-0.521154;0.535777;-0.437126;30.453172;0.000000;4222555354700;1649435685429687;0;54359;1;4;1672.000000;45888;33648;31967;31823;33488;32703;29192;30863;34390;0;0;9.995478;0.513618;-0.442382;-0.070968;0.082169;-0.014861;-54.220052;-20.927947;15.152565;-0.375375;-0.624191;0.347766;-0.590371;30.257171;0.000000;4222555354700;1649435685429687;0;17503;1;4;1613.000000;33744;28608;33215;30751;32320;32719;30816;39353;33365;0;0;2.134662;-9.353300;1.990713;-0.034974;0.016561;-0.024881;-35.976597;84.653904;2.766160;-0.202066;0.296686;-0.557956;0.748219;26.047548;0.000000
Version String3=2017-04-10 11:53:46 monitor_hv11_bv2_20161006_3cdef2ce.hex;4222555354720;1649435685437500;0;42079;1;5;1555.000000;36944;32624;31951;33103;32848;32671;29908;34143;31946;0;0;9.782697;-0.198488;-1.507500;0.060642;-0.026197;-0.039375;-45.870210;27.364971;-12.876199;-0.617783;0.246667;0.719143;0.200831;30.444126;0.000000;4222555354720;1649435685437500;0;21599;1;5;1578.000000;36960;32672;31951;28671;34528;32815;28694;34269;31287;0;0;9.867500;-0.429997;-1.283471;-0.066605;0.092527;-0.032314;-67.899942;10.709917;-25.045143;0.615434;0.262137;-0.702673;0.242438;30.191289;0.000000;4222555354720;1649435685437500;0;1111;1;5;1659.000000;33872;45680;34239;32879;33072;32703;33027;30353;27896;0;0;0.659983;9.626138;1.339269;0.067140;0.174512;-0.013211;-5.097938;-31.149742;-65.579890;0.624686;0.517895;-0.404460;-0.421858;26.363004;0.000000;4222555354720;1649435685437500;0;21599;1;5;1659.000000;37120;32848;32303;32623;33072;32751;30109;32708;34570;0;0;9.913135;0.441969;-1.241798;-0.058057;0.036410;-0.013479;-48.316661;-1.023329;17.381450;-0.500218;-0.521205;0.535673;-0.437244;30.453172;0.000000;4222555354720;1649435685437500;0;1111;1;5;1671.000000;45888;33680;31999;31823;33488;32703;29208;30863;34406;0;0;9.994768;0.536975;-0.418854;-0.071630;0.084726;-0.014243;-54.350587;-20.812535;15.000148;-0.375315;-0.624227;0.347751;-0.590380;30.059347;0.000000;4222555354720;1649435685437500;0;33887;1;5;1613.000000;33744;28608;33215;30751;32320;32719;30816;39353;33333;0;0;2.134662;-9.353300;1.990713;-0.034974;0.016561;-0.024881;-36.005565;84.644135;2.760750;-0.202042;0.296698;-0.557922;0.748246;26.047548;0.000000
Calibration Version=5;4222555354740;1649435685445312;0;58463;1;6;1555.000000;36944;32624;31951;33103;32848;32687;29924;34127;31930;0;0;9.782697;-0.198488;-1.507500;0.060837;-0.026021;-0.014052;-45.897311;27.392382;-12.870878;-0.617778;0.246659;0.719158;0.200803;30.444126;0.000000;4222555354740;1649435685445312;0;42079;1;6;1579.000000;36976;32672;31951;28671;34512;32815;28694;34285;31271;0;0;9.904813;-0.429170;-1.283512;-0.067160;0.063846;-0.033280;-67.840371;10.741610;-25.445310;0.615384;0.262234;-0.702664;0.242486;30.396243;0.000000;4222555354740;1649435685445312;0;13399;1;6;1658.000000;33856;45680;34239;32879;33072;32703;33043;30321;27896;0;0;0.647637;9.625729;1.339096;0.067168;0.177809;-0.012201;-4.820145;-31.303293;-65.552502;0.624701;0.517896;-0.404449;-0.421845;26.154381;0.000000;4222555354740;1649435685445312;0;37983;1;6;1659.000000;37136;32848;32303;32623;33056;32751;30109;32740;34586;0;0;9.949060;0.441410;-1.241822;-0.058244;0.011144;-0.013781;-48.346180;-0.901830;17.551372;-0.500123;-0.521299;0.535617;-0.437309;30.453172;0.000000;4222555354740;1649435685445312;0;21591;1;6;1671.000000;45888;33712;32015;31807;33488;32703;29192;30879;34406;0;0;9.994368;0.560949;-0.406869;-0.096758;0.084868;-0.014150;-54.324416;-20.714150;15.170847;-0.375316;-0.624226;0.347794;-0.590355;30.059347;0.000000;4222555354740;1649435685445312;0;50271;1;6;1613.000000;33744;28608;33215;30751;32320;32719;30800;39337;33365;0;0;2.134662;-9.353300;1.990713;-0.034974;0.016561;-0.024881;-36.035395;84.781349;2.754201;-0.202019;0.296710;-0.557887;0.748273;26.047548;0.000000
Sample Rate=128;4222555354760;1649435685453125;0;9311;1;7;1555.000000;36928;32624;31951;33103;32848;32687;29924;34127;31930;0;0;9.746269;-0.197908;-1.507468;0.060837;-0.026021;-0.014052;-45.891165;27.411130;-13.001963;-0.617773;0.246650;0.719172;0.200775;30.444126;0.000000;4222555354760;1649435685453125;0;54367;1;7;1578.000000;36960;32672;31951;28671;34528;32815;28694;34285;31271;0;0;9.867500;-0.429997;-1.283471;-0.066605;0.092527;-0.032314;-67.866911;10.795047;-25.578054;0.615411;0.262302;-0.702586;0.242567;30.191289;0.000000;4222555354760;1649435685453125;0;33879;1;7;1659.000000;33872;45680;34255;32879;33072;32703;33027;30321;27912;0;0;0.659999;9.626136;1.351360;0.067140;0.174512;-0.013211;-4.984782;-31.304800;-65.673435;0.624708;0.517894;-0.404444;-0.421842;26.363004;0.000000;4222555354760;1649435685453125;0;54367;1;7;1659.000000;37136;32848;32303;32623;33056;32751;30093;32708;34570;0;0;9.949060;0.441410;-1.241822;-0.058244;0.011144;-0.013781;-48.216341;-0.923350;17.435535;-0.500027;-0.521393;0.535561;-0.437375;30.453172;0.000000;4222555354760;1649435685453125;0;37975;1;7;1672.000000;45856;33696;31999;31807;33488;32703;29160;30863;34406;0;0;9.970721;0.550005;-0.418455;-0.096096;0.082311;-0.014768;-54.332417;-20.660135;15.137213;-0.375313;-0.624233;0.347838;-0.590324;30.257171;0.000000;4222555354760;1649435685453125;0;1119;1;7;1613.000000;33744;28608;33231;30735;32320;32719;30800;39353;33349;0;0;2.134650;-9.353316;2.026555;-0.060629;0.016298;-0.025001;-35.831054;84.785367;2.787436;-0.201966;0.296744;-0.557928;0.748244;26.047548;0.000000
Decimation Factor=1;4222555354780;1649435685460937;0;25695;1;8;1555.000000;36928;32624;31935;33103;32848;32687;29924;34159;31930;0;0;9.746301;-0.197909;-1.543808;0.060837;-0.026021;-0.014052;-45.894277;27.275894;-13.009196;-0.617768;0.246642;0.719187;0.200747;30.444126;0.000000;4222555354780;1649435685460937;0;5215;1;8;1578.000000;36960;32672;31935;28655;34512;32815;28678;34285;31271;0;0;9.867540;-0.429980;-1.319448;-0.091619;0.066274;-0.032772;-67.738756;10.494420;-25.167964;0.615393;0.262336;-0.702595;0.242552;30.191289;0.000000;4222555354780;1649435685460937;0;50263;1;8;1659.000000;33872;45680;34239;32879;33072;32703;33043;30305;27912;0;0;0.659983;9.626138;1.339269;0.067140;0.174512;-0.013211;-5.081704;-31.159963;-65.784793;0.624716;0.517891;-0.404439;-0.421839;26.363004;0.000000;4222555354780;1649435685460937;0;5215;1;8;1659.000000;37120;32848;32303;32623;33072;32751;30093;32708;34554;0;0;9.913135;0.441969;-1.241798;-0.058057;0.036410;-0.013479;-48.196752;-0.916063;17.104856;-0.499984;-0.521443;0.535457;-0.437491;30.453172;0.000000;4222555354780;1649435685460937;0;50263;1;8;1670.000000;45840;33680;32015;31807;33488;32703;29192;30863;34390;0;0;9.958313;0.536784;-0.407272;-0.097203;0.087427;-0.013315;-54.313631;-21.035940;15.146399;-0.375289;-0.624241;0.347851;-0.590323;29.861523;0.000000;4222555354780;1649435685460937;0;13407;1;8;1612.000000;33744;28608;33215;30751;32320;32719;30816;39337;33349;0;0;2.133244;-9.353291;1.990163;-0.034977;0.017128;-0.024496;-36.132373;84.621137;2.630287;-0.201942;0.296754;-0.557894;0.748272;25.849430;0.000000
Time Good=0;4222555354800;1649435685468750;0;46175;1;9;1556.000000;36928;32640;31935;33103;32864;32687;29908;34127;31914;0;0;9.746561;-0.161967;-1.544785;0.058399;-0.002093;-0.014718;-45.899013;27.305148;-12.850498;-0.617828;0.246618;0.719143;0.200751;30.659026;0.000000;4222555354800;1649435685468750;0;21599;1;9;1578.000000;36944;32672;31935;28655;34528;32815;28710;34269;31271;0;0;9.831009;-0.429439;-1.319407;-0.091410;0.092573;-0.032781;-67.873738;10.676646;-25.098320;0.615446;0.262346;-0.702541;0.242564;30.191289;0.000000;4222555354800;1649435685468750;0;62551;1;9;1658.000000;33872;45680;34255;32879;33072;32703;33059;30305;27912;0;0;0.659706;9.625542;1.351202;0.067168;0.177809;-0.012201;-5.092713;-31.265175;-65.807424;0.624730;0.517892;-0.404429;-0.421826;26.154381;0.000000;4222555354800;1649435685468750;0;17503;1;9;1658.000000;37120;32864;32303;32607;33072;32751;30061;32708;34554;0;0;9.911835;0.475235;-1.241809;-0.084463;0.037526;-0.013407;-48.432432;-0.915824;17.437632;-0.499997;-0.521440;0.535396;-0.437556;30.251762;0.000000;4222555354800;1649435685468750;0;9303;1;9;1672.000000;45856;33664;32063;31807;33504;32703;29192;30879;34406;0;0;9.971228;0.526026;-0.370508;-0.096472;0.108066;-0.014815;-54.453444;-21.176386;15.114965;-0.375295;-0.624204;0.347829;-0.590372;30.257171;0.000000;4222555354800;1649435685468750;0;33887;1;9;1613.000000;33744;28608;33231;30751;32320;32719;30800;39353;33349;0;0;2.134650;-9.353316;2.026555;-0.034974;0.016561;-0.024881;-36.239472;84.768376;2.634095;-0.201919;0.296766;-0.557860;0.748299;26.047548;0.000000
