Metadata;Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa);Sync Count;Time;Button Status;Flags;Optional Data;Sample Count;Raw Temperature;Raw Acceleration X;Raw Acceleration Y;Raw Acceleration Z;Raw Gyroscope X;Raw Gyroscope Y;Raw Gyroscope Z;Raw Magnetometer X;Raw Magnetometer Y;Raw Magnetometer Z;Magnetometer Bridge Current;Raw Pressure ;Acceleration X (m/s^2);Acceleration Y (m/s^2);Acceleration Z (m/s^2);Angular Velocity X (rad/s);Angular Velocity Y (rad/s);Angular Velocity Z (rad/s);Magnetic Field X (uT);Magnetic Field Y (uT);Magnetic Field Z (uT);Orientation Quaternion Scalar;Orientation Quaternion X;Orientation Quaternion Y;Orientation Quaternion Z;Temperature (deg C) Z;Pressure (Pa)
File Format Version=6;4222556137980;1649435991398437;0;5215;1;0;1553.000000;36912;32416;31919;33103;32848;32671;29925;34334;32009;0;0;9.715680;-0.664680;-1.578179;0.065479;-0.022738;-0.038850;-45.751288;29.759872;-11.901926;0.569052;-0.395947;-0.649335;-0.312681;30.014327;0.000000;4222556137980;1649435991398437;0;62559;1;0;1578.000000;36944;32528;31951;28671;34528;32815;28680;34496;31356;0;0;9.835810;-0.755943;-1.283280;-0.066605;0.092527;-0.032314;-67.768569;13.147502;-24.150552;-0.346019;0.641501;0.384713;0.566341;30.191289;0.000000;4222556137980;1649435991398437;0;50263;1;0;1657.000000;34048;45632;34559;32863;33056;32703;32937;30392;27769;0;0;0.792775;9.586961;1.580950;0.041343;0.155629;-0.011565;-6.301377;-30.713238;-67.344004;-0.758351;-0.637299;0.114071;0.075766;25.945758;0.000000;4222556137980;1649435991398437;0;58463;1;0;1658.000000;37088;32944;32223;32623;33056;32751;30123;32563;34582;0;0;9.837344;0.654028;-1.421811;-0.059195;0.012404;-0.013147;-48.197195;-2.737250;17.518049;0.151271;0.739173;-0.120184;0.645210;30.251762;0.000000;4222556137980;1649435991398437;0;29783;1;0;1670.000000;45808;33744;31775;31823;33488;32703;29177;31022;34502;0;0;9.932983;0.585167;-0.587108;-0.072076;0.087285;-0.013407;-54.663704;-18.822720;16.464924;0.287321;0.661508;-0.287591;0.630194;29.861523;0.000000;4222556137980;1649435991398437;0;25695;1;0;1611.000000;33808;28640;33295;30735;32320;32719;30944;39127;32893;0;0;2.273799;-9.283449;2.168848;-0.060633;0.017198;-0.024305;-34.122365;81.981512;-3.069427;-0.076736;0.202095;-0.592704;0.775868;25.651313;0.000000
Monitor Case IDs= :SI-000510:SI-000512:SI-000513:SI-000583:SI-000584:SI-000693;4222556138000;1649435991406250;0;33887;1;1;1555.000000;36912;32432;31919;33119;32848;32671;29941;34334;32009;0;0;9.716775;-0.628804;-1.580133;0.086366;-0.026162;-0.039836;-45.636002;29.649663;-12.039105;0.569093;-0.395763;-0.649454;-0.312594;30.444126;0.000000;4222556138000;1649435991406250;0;17503;1;1;1578.000000;36928;32560;31983;28671;34512;32799;28696;34480;31356;0;0;9.798124;-0.682882;-1.211320;-0.067130;0.065629;-0.057664;-67.876480;13.176772;-24.179851;-0.345979;0.641436;0.384855;0.566344;30.191289;0.000000;4222556138000;1649435991406250;0;13399;1;1;1658.000000;34048;45616;34575;32879;33072;32703;32905;30408;27769;0;0;0.793348;9.575685;1.593200;0.067168;0.177809;-0.012201;-6.545128;-30.448406;-67.370924;-0.758363;-0.637283;0.114078;0.075775;26.154381;0.000000;4222556138000;1649435991406250;0;13407;1;1;1658.000000;37088;32944;32223;32623;33056;32751;30123;32547;34582;0;0;9.837344;0.654028;-1.421811;-0.059195;0.012404;-0.013147;-48.083757;-2.706440;17.637103;0.151148;0.739196;-0.120132;0.645222;30.251762;0.000000;4222556138000;1649435991406250;0;54359;1;1;1670.000000;45824;33728;31759;31823;33488;32703;29145;31038;34502;0;0;9.945256;0.572969;-0.599072;-0.072076;0.087285;-0.013407;-54.659448;-18.822894;16.301308;0.287309;0.661474;-0.287673;0.630198;29.861523;0.000000;4222556138000;1649435991406250;0;46175;1;1;1611.000000;33808;28640;33295;30735;32320;32719;30944;39127;32909;0;0;2.273799;-9.283449;2.168848;-0.060633;0.017198;-0.024305;-34.318621;82.145048;-3.393034;-0.076698;0.202123;-0.592756;0.775825;25.651313;0.000000
Monitor Labels= ::::::;4222556138020;1649435991414062;0;46175;1;2;1553.000000;36896;32448;31935;33119;32864;32687;29957;34318;32009;0;0;9.678073;-0.592194;-1.541804;0.091379;0.003127;-0.014376;-45.530281;29.666912;-11.879112;0.569246;-0.395598;-0.649473;-0.312484;30.014327;0.000000;4222556138020;1649435991414062;0;42079;1;2;1579.000000;36928;32592;32015;28671;34528;32815;28696;34480;31340;0;0;9.797752;-0.609003;-1.139401;-0.066950;0.090145;-0.033288;-68.137183;13.039367;-24.225794;-0.346031;0.641352;0.384903;0.566375;30.396243;0.000000;4222556138020;1649435991414062;0;25687;1;2;1657.000000;34048;45616;34575;32879;33056;32703;32921;30376;27769;0;0;0.792975;9.575013;1.593042;0.066984;0.155655;-0.011400;-6.487391;-30.605081;-67.365987;-0.758365;-0.637260;0.114152;0.075837;25.945758;0.000000;4222556138020;1649435991414062;0;33887;1;2;1659.000000;37088;32928;32207;32623;33056;32751;30123;32547;34582;0;0;9.838669;0.620789;-1.457793;-0.058244;0.011144;-0.013781;-47.997722;-2.839301;17.905052;0.151023;0.739223;-0.120078;0.645231;30.453172;0.000000;4222556138020;1649435991414062;0;5207;1;2;1670.000000;45824;33696;31791;31823;33488;32703;29161;31006;34502;0;0;9.945720;0.548993;-0.575099;-0.072076;0.087285;-0.013407;-54.799087;-18.899991;16.326482;0.287297;0.661441;-0.287755;0.630201;29.861523;0.000000;4222556138020;1649435991414062;0;62559;1;2;1611.000000;33808;28656;33295;30751;32304;32735;30944;39143;32909;0;0;2.273203;-9.247311;2.168832;-0.035310;-0.007880;0.002136;-34.163673;82.150390;-3.174638;-0.076819;0.202157;-0.592744;0.775813;25.651313;0.000000
Version String1=APDM Inc.;4222556138040;1649435991421875;0;62559;1;3;1554.000000;36896;32464;31951;33135;32848;32671;29941;34334;32025;0;0;9.678303;-0.556275;-1.506439;0.114508;-0.024398;-0.040035;-45.525366;29.683601;-11.888838;0.569333;-0.395350;-0.649621;-0.312329;30.229226;0.000000;4222556138040;1649435991421875;0;58463;1;3;1579.000000;36944;32624;32015;28655;34528;32799;28664;34512;31340;0;0;9.833206;-0.536988;-1.139475;-0.092070;0.089593;-0.059109;-67.990285;13.040886;-24.057015;-0.345961;0.641264;0.384961;0.566477;30.396243;0.000000;4222556138040;1649435991421875;0;37975;1;3;1657.000000;34032;45616;34575;32879;33072;32703;32905;30392;27753;0;0;0.780922;9.575199;1.593026;0.067194;0.180936;-0.011278;-6.546899;-30.705101;-67.359337;-0.758379;-0.637244;0.114151;0.075836;25.945758;0.000000;4222556138040;1649435991421875;0;46175;1;3;1658.000000;37088;32928;32207;32623;33056;32751;30107;32563;34582;0;0;9.837920;0.618531;-1.457784;-0.059195;0.012404;-0.013147;-47.884860;-2.865430;17.885037;0.150900;0.739246;-0.120027;0.645243;30.251762;0.000000;4222556138040;1649435991421875;0;17495;1;3;1669.000000;45824;33632;31775;31823;33488;32703;29161;31006;34502;0;0;9.946363;0.500131;-0.587376;-0.072429;0.089845;-0.012479;-54.773138;-19.172062;16.348459;0.287269;0.661407;-0.287819;0.630220;29.663699;0.000000;4222556138040;1649435991421875;0;13407;1;3;1611.000000;33808;28640;33295;30735;32320;32735;30944;39143;32893;0;0;2.273799;-9.283449;2.168848;-0.060924;0.017934;0.001623;-34.058644;81.956227;-3.208455;-0.076858;0.202123;-0.592818;0.775762;25.651313;0.000000
Version String2=2016-10-04-3cdef2ce2a3717c4e8eddcd0e0bd391ede8550fd;4222556138060;1649435991429687;0;13407;1;4;1554.000000;36912;32480;31951;33119;32848;32671;29957;34334;32009;0;0;9.714159;-0.520900;-1.506470;0.088784;-0.024433;-0.039574;-45.655740;29.580786;-11.994850;0.569382;-0.395160;-0.649738;-0.312238;30.229226;0.000000;4222556138060;1649435991429687;0;5215;1;4;1579.000000;36944;32640;31999;28655;34512;32799;28680;34480;31356;0;0;9.832708;-0.500693;-1.175468;-0.092279;0.063294;-0.059100;-67.885978;13.175972;-24.162765;-0.345851;0.641235;0.385054;0.566514;30.396243;0.000000;4222556138060;1649435991429687;0;54359;1;4;1657.000000;34032;45616;34575;32879;33072;32703;32953;30376;27769;0;0;0.780922;9.575199;1.593026;0.067194;0.180936;-0.011278;-6.309413;-30.682920;-67.397057;-0.758392;-0.637229;0.114151;0.075834;25.945758;0.000000;4222556138060;1649435991429687;0;62559;1;4;1658.000000;37088;32912;32207;32623;33056;32751;30107;32563;34582;0;0;9.838472;0.583014;-1.457765;-0.059195;0.012404;-0.013147;-47.888354;-2.592863;17.706203;0.150777;0.739269;-0.119976;0.645255;30.251762;0.000000;4222556138060;1649435991429687;0;33879;1;4;1669.000000;45840;33600;31759;31823;33488;32703;29161;31022;34486;0;0;9.958847;0.475947;-0.599339;-0.072429;0.089845;-0.012479;-54.804999;-19.040247;16.202776;0.287241;0.661374;-0.287883;0.630238;29.663699;0.000000;4222556138060;1649435991429687;0;25695;1;4;1611.000000;33792;28640;33279;30735;32320;32735;30960;39143;32909;0;0;2.238031;-9.282843;2.133018;-0.060924;0.017934;0.001623;-34.043648;82.244746;-3.234647;-0.076897;0.202088;-0.592891;0.775711;25.651313;0.000000
Version String3=2017-04-10 11:53:46 monitor_hv11_bv2_20161006_3cdef2ce.hex;4222556138080;1649435991437500;0;33887;1;5;1554.000000;36928;32496;31951;33119;32848;32687;29941;34318;31993;0;0;9.750015;-0.485526;-1.506501;0.088980;-0.024258;-0.014246;-45.667855;29.447679;-12.133980;0.569463;-0.395032;-0.649817;-0.312089;30.229226;0.000000;4222556138080;1649435991437500;0;21599;1;5;1579.000000;36944;32608;31999;28655;34528;32799;28680;34496;31356;0;0;9.833784;-0.573249;-1.175435;-0.092070;0.089593;-0.059109;-67.869051;13.152586;-24.407127;-0.345781;0.641148;0.385112;0.566616;30.396243;0.000000;4222556138080;1649435991437500;0;5207;1;5;1657.000000;34032;45632;34575;32879;33072;32703;32921;30392;27769;0;0;0.780739;9.587145;1.593025;0.067194;0.180936;-0.011278;-6.113155;-30.685018;-67.224507;-0.758405;-0.637213;0.114150;0.075833;25.945758;0.000000;4222556138080;1649435991437500;0;13407;1;5;1658.000000;37104;32912;32207;32639;33056;32751;30123;32563;34598;0;0;9.874396;0.582456;-1.457789;-0.033740;0.012548;-0.012583;-47.968273;-2.622015;17.916750;0.150579;0.739306;-0.119861;0.645279;30.251762;0.000000;4222556138080;1649435991437500;0;46167;1;5;1669.000000;45856;33600;31743;31823;33488;32703;29161;31038;34470;0;0;9.970910;0.475735;-0.611303;-0.072429;0.089845;-0.012479;-54.624500;-18.773965;16.240152;0.287230;0.661333;-0.287966;0.630249;29.663699;0.000000;4222556138080;1649435991437500;0;50271;1;5;1612.000000;33792;28640;33295;30751;32320;32719;30960;39159;32893;0;0;2.239330;-9.282863;2.169304;-0.034977;0.017128;-0.024496;-34.188244;82.354739;-3.083359;-0.076879;0.202108;-0.592865;0.775727;25.849430;0.000000
Calibration Version=5;4222556138100;1649435991445312;0;50271;1;6;1554.000000;36928;32496;31951;33119;32848;32671;29941;34302;32009;0;0;9.750015;-0.485526;-1.506501;0.088784;-0.024433;-0.039574;-45.483018;29.576761;-11.994500;0.569511;-0.394843;-0.649933;-0.311998;30.229226;0.000000;4222556138100;1649435991445312;0;37983;1;6;1579.000000;36976;32576;31999;28655;34528;32815;28696;34512;31372;0;0;9.907920;-0.646889;-1.175482;-0.091754;0.090191;-0.033755;-67.971051;13.150778;-24.391308;-0.345768;0.641097;0.385106;0.566685;30.396243;0.000000;4222556138100;1649435991445312;0;25687;1;6;1657.000000;34048;45632;34575;32879;33056;32687;32921;30392;27769;0;0;0.792791;9.586959;1.593041;0.066952;0.155779;-0.036888;-6.692772;-30.680059;-67.362944;-0.758400;-0.637201;0.114160;0.075971;25.945758;0.000000;4222556138100;1649435991445312;0;29791;1;6;1658.000000;37104;32912;32207;32639;33056;32751;30123;32563;34582;0;0;9.874396;0.582456;-1.457789;-0.033740;0.012548;-0.012583;-48.218373;-2.757291;17.763017;0.150381;0.739343;-0.119748;0.645304;30.251762;0.000000;4222556138100;1649435991445312;0;5207;1;6;1670.000000;45856;33632;31759;31839;33488;32703;29177;31022;34486;0;0;9.970688;0.500622;-0.599025;-0.046948;0.087143;-0.013500;-54.824404;-18.930489;16.207734;0.287155;0.661327;-0.287988;0.630279;29.861523;0.000000;4222556138100;1649435991445312;0;62559;1;6;1611.000000;33792;28640;33295;30735;32320;32735;30960;39143;32909;0;0;2.238019;-9.282859;2.168860;-0.060924;0.017934;0.001623;-34.168728;82.212837;-3.082564;-0.076918;0.202073;-0.592939;0.775676;25.651313;0.000000
Sample Rate=128;4222556138120;1649435991453125;0;62559;1;7;1554.000000;36912;32496;31935;33119;32848;32687;29941;34334;31993;0;0;9.713619;-0.484948;-1.542809;0.088980;-0.024258;-0.014246;-45.748656;29.685536;-11.885397;0.569591;-0.394718;-0.650010;-0.311851;30.229226;0.000000;4222556138120;1649435991453125;0;50271;1;7;1578.000000;36960;32560;31967;28639;34528;32815;28664;34480;31372;0;0;9.871225;-0.683949;-1.247377;-0.116215;0.092619;-0.033248;-68.110150;13.167476;-24.273147;-0.345699;0.641074;0.385042;0.566797;30.191289;0.000000;4222556138120;1649435991453125;0;33879;1;7;1656.000000;34032;45632;34575;32879;33072;32703;32953;30408;27801;0;0;0.780137;9.586245;1.592867;0.067216;0.183575;-0.010603;-6.609810;-30.738421;-67.509107;-0.758415;-0.637186;0.114154;0.075961;25.737135;0.000000;4222556138120;1649435991453125;0;46175;1;7;1658.000000;37104;32912;32207;32655;33056;32751;30123;32579;34566;0;0;9.874396;0.582456;-1.457789;-0.008286;0.012693;-0.012020;-48.195810;-2.706988;17.613387;0.150108;0.739395;-0.119572;0.645341;30.251762;0.000000;4222556138120;1649435991453125;0;25687;1;7;1671.000000;45888;33664;31775;31839;33488;32703;29145;31022;34486;0;0;9.994680;0.524998;-0.586659;-0.046502;0.084585;-0.014335;-54.661215;-19.066760;16.327224;0.287077;0.661330;-0.288010;0.630302;30.059347;0.000000;4222556138120;1649435991453125;0;13407;1;7;1612.000000;33792;28640;33279;30751;32320;32735;30960;39143;32877;0;0;2.239342;-9.282847;2.133462;-0.035267;0.017864;0.001426;-34.145098;82.131548;-3.229821;-0.076976;0.202031;-0.592934;0.775685;25.849430;0.000000
Decimation Factor=1;4222556138140;1649435991460937;0;13407;1;8;1553.000000;36928;32512;31919;33103;32848;32671;29957;34334;32009;0;0;9.748674;-0.449546;-1.578204;0.065479;-0.022738;-0.038850;-45.882352;29.693474;-11.903213;0.569608;-0.394581;-0.650092;-0.311821;30.014327;0.000000;4222556138140;1649435991460937;0;5215;1;8;1579.000000;36976;32544;31951;28655;34528;32815;28712;34496;31356;0;0;9.909115;-0.719395;-1.283378;-0.091754;0.090191;-0.033755;-67.988678;13.069691;-24.270482;-0.345687;0.641023;0.385037;0.566866;30.396243;0.000000;4222556138140;1649435991460937;0;54359;1;8;1656.000000;34048;45632;34575;32879;33072;32703;32937;30376;27785;0;0;0.792190;9.586060;1.592883;0.067216;0.183575;-0.010603;-6.459398;-30.443160;-67.342880;-0.758430;-0.637170;0.114147;0.075951;25.737135;0.000000;4222556138140;1649435991460937;0;62559;1;8;1657.000000;37120;32928;32223;32639;33056;32751;30107;32579;34582;0;0;9.908996;0.615137;-1.421831;-0.034691;0.013809;-0.011949;-48.070134;-2.821133;17.791373;0.149912;0.739428;-0.119462;0.645369;30.050352;0.000000;4222556138140;1649435991460937;0;37975;1;8;1670.000000;45872;33696;31759;31839;33488;32687;29161;31038;34470;0;0;9.981930;0.548358;-0.599006;-0.046789;0.086763;-0.038680;-54.660214;-18.887075;16.445888;0.287060;0.661355;-0.287965;0.630304;29.861523;0.000000;4222556138140;1649435991460937;0;29791;1;8;1611.000000;33792;28640;33295;30751;32320;32719;30944;39143;32909;0;0;2.238019;-9.282859;2.168860;-0.034980;0.017460;-0.024185;-34.301015;81.985089;-3.236719;-0.076959;0.202050;-0.592908;0.775701;25.651313;0.000000
Time Good=0;4222556138160;1649435991468750;0;37983;1;9;1555.000000;36928;32512;31919;33119;32848;32671;29941;34334;31993;0;0;9.750341;-0.449603;-1.580159;0.086366;-0.026162;-0.039836;-45.590567;29.559467;-11.926185;0.569648;-0.394399;-0.650210;-0.311734;30.444126;0.000000;4222556138160;1649435991468750;0;21599;1;9;1579.000000;36960;32560;31951;28671;34528;32799;28696;34480;31388;0;0;9.872047;-0.682576;-1.283354;-0.067266;0.089547;-0.058642;-67.829849;12.910632;-24.365571;-0.345679;0.640902;0.385150;0.566930;30.396243;0.000000;4222556138160;1649435991468750;0;9303;1;9;1658.000000;34032;45632;34575;32895;33072;32703;32921;30392;27785;0;0;0.781111;9.587818;1.593182;0.092809;0.177835;-0.012037;-6.619511;-30.606255;-67.345319;-0.758378;-0.637230;0.114161;0.075949;26.154381;0.000000;4222556138160;1649435991468750;0;17503;1;9;1658.000000;37120;32944;32223;32655;33056;32751;30123;32563;34566;0;0;9.909193;0.652912;-1.421859;-0.008286;0.012693;-0.012020;-48.076351;-2.955827;17.754430;0.149640;0.739479;-0.119286;0.645406;30.251762;0.000000;4222556138160;1649435991468750;0;50263;1;9;1669.000000;45888;33728;31775;31839;33488;32687;29177;31022;34502;0;0;9.993437;0.571201;-0.587294;-0.047143;0.089322;-0.037755;-54.826294;-19.000241;16.415156;0.287028;0.661380;-0.287902;0.630321;29.663699;0.000000;4222556138160;1649435991468750;0;46175;1;9;1611.000000;33792;28640;33295;30751;32320;32735;30944;39127;32893;0;0;2.238019;-9.282859;2.168860;-0.035270;0.018196;0.001742;-34.264266;82.127612;-3.051633;-0.077018;0.202006;-0.592904;0.775710;25.651313;0.000000
