BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	22
Frequency:    	60 Hz
Frames:       	1415
Start time:   	0.000

 Frame	  Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	
     0	 0.000	    -0.035	     0.945	    -0.569	    -0.123	     0.896	    -0.356	    -0.200	     0.811	    -0.435	    -0.213	     0.657	    -0.424	    -0.119	     0.478	    -0.448	    -0.118	     0.417	    -0.474	    -0.154	     0.291	    -0.503	    -0.057	     0.097	    -0.500	       NaN	       NaN	       NaN	     0.106	     0.895	    -0.373	     0.166	     0.819	    -0.451	     0.200	     0.674	    -0.426	     0.095	     0.472	    -0.381	     0.111	     0.418	    -0.396	     0.189	     0.321	    -0.433	     0.152	     0.115	    -0.489	       NaN	       NaN	       NaN	    -0.010	     0.064	    -0.540	     0.124	     0.073	    -0.535	    -0.088	     1.364	    -0.344	     0.088	     1.396	    -0.446	     0.230	     1.296	    -0.466	
     1	 0.017	    -0.035	     0.945	    -0.569	    -0.123	     0.896	    -0.355	    -0.199	     0.811	    -0.434	    -0.213	     0.657	    -0.423	    -0.118	     0.478	    -0.448	    -0.118	     0.417	    -0.474	    -0.154	     0.291	    -0.503	    -0.057	     0.097	    -0.500	       NaN	       NaN	       NaN	     0.107	     0.895	    -0.374	     0.166	     0.819	    -0.452	     0.201	     0.674	    -0.427	     0.096	     0.473	    -0.382	     0.111	     0.418	    -0.396	     0.189	     0.321	    -0.434	     0.152	     0.115	    -0.489	       NaN	       NaN	       NaN	    -0.010	     0.064	    -0.540	     0.124	     0.073	    -0.535	    -0.089	     1.364	    -0.344	     0.087	     1.396	    -0.446	     0.230	     1.296	    -0.466	
     2	 0.033	    -0.035	     0.945	    -0.569	    -0.122	     0.896	    -0.354	    -0.199	     0.811	    -0.434	    -0.213	     0.657	    -0.423	    -0.118	     0.478	    -0.448	    -0.117	     0.417	    -0.473	    -0.154	     0.292	    -0.503	    -0.057	     0.097	    -0.500	       NaN	       NaN	       NaN	     0.107	     0.895	    -0.374	     0.167	     0.819	    -0.452	     0.201	     0.675	    -0.427	     0.097	     0.472	    -0.383	     0.112	     0.418	    -0.397	     0.190	     0.321	    -0.434	     0.152	     0.115	    -0.489	       NaN	       NaN	       NaN	    -0.010	     0.064	    -0.540	     0.125	     0.073	    -0.536	    -0.091	     1.364	    -0.345	     0.086	     1.397	    -0.446	     0.229	     1.297	    -0.466	
     3	 0.050	    -0.035	     0.945	    -0.569	    -0.122	     0.896	    -0.353	    -0.199	     0.811	    -0.433	    -0.212	     0.657	    -0.422	    -0.118	     0.479	    -0.448	    -0.117	     0.417	    -0.473	    -0.154	     0.292	    -0.503	    -0.057	     0.097	    -0.500	       NaN	       NaN	       NaN	     0.107	     0.895	    -0.374	     0.167	     0.820	    -0.452	     0.202	     0.675	    -0.427	     0.098	     0.472	    -0.385	     0.113	     0.418	    -0.397	     0.190	     0.321	    -0.435	     0.152	     0.115	    -0.489	       NaN	       NaN	       NaN	    -0.010	     0.064	    -0.540	     0.125	     0.073	    -0.536	    -0.092	     1.364	    -0.345	     0.085	     1.397	    -0.446	     0.228	     1.298	    -0.466	
     4	 0.067	    -0.035	     0.945	    -0.569	    -0.121	     0.896	    -0.353	    -0.198	     0.811	    -0.433	    -0.212	     0.657	    -0.422	    -0.118	     0.479	    -0.447	    -0.117	     0.417	    -0.473	    -0.153	     0.292	    -0.503	    -0.057	     0.097	    -0.500	       NaN	       NaN	       NaN	     0.108	     0.896	    -0.374	     0.167	     0.820	    -0.452	     0.202	     0.675	    -0.428	     0.098	     0.473	    -0.384	     0.113	     0.418	    -0.398	     0.191	     0.321	    -0.435	     0.153	     0.115	    -0.489	       NaN	       NaN	       NaN	    -0.010	     0.064	    -0.540	     0.125	     0.073	    -0.536	    -0.093	     1.364	    -0.346	     0.084	     1.398	    -0.447	     0.227	     1.299	    -0.466	
     5	 0.083	    -0.035	     0.945	    -0.568	    -0.121	     0.896	    -0.352	    -0.198	     0.811	    -0.433	    -0.211	     0.657	    -0.422	    -0.117	     0.479	    -0.447	    -0.117	     0.417	    -0.473	    -0.153	     0.292	    -0.504	    -0.056	     0.097	    -0.499	       NaN	       NaN	       NaN	     0.108	     0.896	    -0.373	     0.168	     0.820	    -0.452	     0.203	     0.676	    -0.427	     0.099	     0.473	    -0.384	     0.114	     0.419	    -0.398	     0.191	     0.321	    -0.436	     0.153	     0.115	    -0.489	       NaN	       NaN	       NaN	    -0.010	     0.064	    -0.540	     0.125	     0.073	    -0.536	    -0.093	     1.364	    -0.347	     0.084	     1.398	    -0.447	     0.227	     1.300	    -0.466	
     6	 0.100	    -0.034	     0.945	    -0.568	    -0.120	     0.896	    -0.352	    -0.198	     0.811	    -0.433	    -0.211	     0.657	    -0.422	    -0.117	     0.479	    -0.447	    -0.116	     0.417	    -0.473	    -0.153	     0.292	    -0.504	    -0.056	     0.097	    -0.499	       NaN	       NaN	       NaN	     0.108	     0.896	    -0.373	     0.168	     0.821	    -0.452	     0.204	     0.676	    -0.428	     0.100	     0.474	    -0.384	     0.115	     0.419	    -0.398	     0.192	     0.321	    -0.436	     0.153	     0.115	    -0.489	       NaN	       NaN	       NaN	    -0.009	     0.064	    -0.540	     0.125	     0.073	    -0.536	    -0.094	     1.365	    -0.348	     0.083	     1.398	    -0.447	     0.227	     1.301	    -0.466	
     7	 0.117	    -0.034	     0.945	    -0.568	    -0.120	     0.896	    -0.352	    -0.197	     0.811	    -0.433	    -0.211	     0.657	    -0.422	    -0.116	     0.479	    -0.448	    -0.116	     0.417	    -0.473	    -0.152	     0.292	    -0.504	    -0.056	     0.097	    -0.499	       NaN	       NaN	       NaN	     0.109	     0.896	    -0.373	     0.169	     0.821	    -0.453	     0.204	     0.676	    -0.428	     0.100	     0.474	    -0.384	     0.115	     0.419	    -0.399	     0.192	     0.321	    -0.436	     0.153	     0.115	    -0.489	       NaN	       NaN	       NaN	    -0.009	     0.064	    -0.540	     0.125	     0.073	    -0.536	    -0.095	     1.365	    -0.348	     0.083	     1.399	    -0.448	     0.226	     1.301	    -0.465	
     8	 0.133	    -0.034	     0.945	    -0.568	    -0.120	     0.896	    -0.352	    -0.197	     0.811	    -0.433	    -0.210	     0.657	    -0.422	    -0.116	     0.479	    -0.448	    -0.115	     0.417	    -0.474	    -0.152	     0.292	    -0.504	    -0.056	     0.097	    -0.499	       NaN	       NaN	       NaN	     0.109	     0.896	    -0.373	     0.169	     0.821	    -0.453	     0.204	     0.676	    -0.429	     0.100	     0.474	    -0.384	     0.116	     0.419	    -0.399	     0.192	     0.321	    -0.436	     0.153	     0.115	    -0.490	       NaN	       NaN	       NaN	    -0.009	     0.064	    -0.540	     0.125	     0.073	    -0.536	    -0.096	     1.365	    -0.349	     0.082	     1.399	    -0.448	     0.226	     1.302	    -0.465	
     9	 0.150	    -0.033	     0.945	    -0.568	    -0.119	     0.896	    -0.352	    -0.196	     0.811	    -0.433	    -0.210	     0.657	    -0.423	    -0.116	     0.479	    -0.448	    -0.115	     0.417	    -0.474	    -0.152	     0.292	    -0.505	    -0.056	     0.097	    -0.499	       NaN	       NaN	       NaN	     0.110	     0.896	    -0.373	     0.170	     0.821	    -0.453	     0.205	     0.676	    -0.428	     0.101	     0.474	    -0.384	     0.116	     0.419	    -0.399	     0.192	     0.321	    -0.436	     0.153	     0.115	    -0.490	       NaN	       NaN	       NaN	    -0.009	     0.064	    -0.540	     0.125	     0.073	    -0.536	    -0.097	     1.365	    -0.349	     0.082	     1.399	    -0.448	     0.226	     1.302	    -0.465	
