BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    l gr.X	    l gr.Y	    l gr.Z	
     0	 0.000	     0.090	     0.006	    -0.165	
     1	 0.004	     0.090	     0.006	    -0.165	
     2	 0.008	     0.090	     0.006	    -0.164	
     3	 0.013	     0.090	     0.006	    -0.165	
     4	 0.017	     0.089	     0.006	    -0.165	
     5	 0.021	     0.089	     0.006	    -0.165	
     6	 0.025	     0.090	     0.006	    -0.165	
     7	 0.029	     0.089	     0.006	    -0.166	
     8	 0.033	     0.089	     0.006	    -0.165	
     9	 0.038	     0.090	     0.006	    -0.165	
    10	 0.042	     0.089	     0.006	    -0.165	
    11	 0.046	     0.089	     0.006	    -0.166	
    12	 0.050	     0.089	     0.006	    -0.165	
    13	 0.054	     0.089	     0.006	    -0.165	
    14	 0.058	     0.090	     0.006	    -0.165	
    15	 0.063	     0.090	     0.006	    -0.165	
    16	 0.067	     0.089	     0.006	    -0.165	
    17	 0.071	     0.090	     0.006	    -0.165	
    18	 0.075	     0.090	     0.006	    -0.165	
    19	 0.079	     0.090	     0.006	    -0.165	
    20	 0.083	     0.090	     0.006	    -0.165	
    21	 0.087	     0.089	     0.006	    -0.165	
    22	 0.092	     0.090	     0.006	    -0.165	
    23	 0.096	     0.089	     0.006	    -0.165	
    24	 0.100	     0.090	     0.006	    -0.165	
    25	 0.104	     0.089	     0.006	    -0.165	
    26	 0.108	     0.090	     0.006	    -0.165	
    27	 0.112	     0.090	     0.006	    -0.165	
    28	 0.117	     0.089	     0.006	    -0.165	
    29	 0.121	     0.090	     0.006	    -0.165	
    30	 0.125	     0.089	     0.006	    -0.165	
    31	 0.129	     0.089	     0.006	    -0.165	
    32	 0.133	     0.090	     0.006	    -0.165	
    33	 0.138	     0.090	     0.006	    -0.165	
    34	 0.142	     0.089	     0.006	    -0.165	
    35	 0.146	     0.089	     0.006	    -0.166	
