BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	
     0	 0.000	    -0.091	     0.008	    -0.185	
     1	 0.004	    -0.091	     0.008	    -0.185	
     2	 0.008	    -0.091	     0.008	    -0.185	
     3	 0.013	    -0.091	     0.008	    -0.185	
     4	 0.017	    -0.091	     0.008	    -0.184	
     5	 0.021	    -0.091	     0.008	    -0.185	
     6	 0.025	    -0.091	     0.008	    -0.185	
     7	 0.029	    -0.091	     0.008	    -0.185	
     8	 0.033	    -0.091	     0.008	    -0.185	
     9	 0.038	    -0.091	     0.008	    -0.184	
    10	 0.042	    -0.091	     0.008	    -0.184	
    11	 0.046	    -0.091	     0.008	    -0.184	
    12	 0.050	    -0.091	     0.008	    -0.184	
    13	 0.054	    -0.091	     0.008	    -0.185	
    14	 0.058	    -0.090	     0.008	    -0.184	
    15	 0.063	    -0.091	     0.008	    -0.184	
    16	 0.067	    -0.091	     0.008	    -0.185	
    17	 0.071	    -0.091	     0.008	    -0.184	
    18	 0.075	    -0.091	     0.008	    -0.185	
    19	 0.079	    -0.091	     0.008	    -0.185	
    20	 0.083	    -0.091	     0.008	    -0.185	
    21	 0.087	    -0.091	     0.008	    -0.184	
    22	 0.092	    -0.091	     0.008	    -0.185	
    23	 0.096	    -0.091	     0.008	    -0.184	
    24	 0.100	    -0.091	     0.008	    -0.185	
    25	 0.104	    -0.091	     0.008	    -0.185	
    26	 0.108	    -0.091	     0.008	    -0.185	
    27	 0.112	    -0.091	     0.008	    -0.185	
    28	 0.117	    -0.091	     0.008	    -0.184	
    29	 0.121	    -0.091	     0.008	    -0.185	
    30	 0.125	    -0.091	     0.008	    -0.185	
    31	 0.129	    -0.091	     0.008	    -0.184	
    32	 0.133	    -0.091	     0.008	    -0.185	
    33	 0.138	    -0.091	     0.008	    -0.185	
    34	 0.142	    -0.091	     0.008	    -0.185	
    35	 0.146	    -0.091	     0.008	    -0.185	
    36	 0.150	    -0.091	     0.008	    -0.186	
    37	 0.154	    -0.091	     0.008	    -0.185	
    38	 0.158	    -0.091	     0.008	    -0.185	
    39	 0.162	    -0.091	     0.008	    -0.184	
    40	 0.167	    -0.091	     0.008	    -0.185	
    41	 0.171	    -0.090	     0.008	    -0.184	
    42	 0.175	    -0.091	     0.008	    -0.185	
    43	 0.179	    -0.091	     0.008	    -0.185	
    44	 0.183	    -0.091	     0.008	    -0.185	
    45	 0.188	    -0.091	     0.008	    -0.185	
    46	 0.192	    -0.091	     0.008	    -0.186	
    47	 0.196	    -0.091	     0.008	    -0.185	
    48	 0.200	    -0.091	     0.008	    -0.185	
    49	 0.204	    -0.091	     0.008	    -0.186	
    50	 0.208	    -0.091	     0.008	    -0.185	
    51	 0.213	    -0.091	     0.008	    -0.186	
    52	 0.217	    -0.091	     0.008	    -0.186	
    53	 0.221	    -0.091	     0.008	    -0.186	
    54	 0.225	    -0.090	     0.008	    -0.186	
    55	 0.229	    -0.091	     0.008	    -0.185	
    56	 0.233	    -0.091	     0.008	    -0.186	
    57	 0.237	    -0.090	     0.008	    -0.186	
    58	 0.242	    -0.091	     0.008	    -0.186	
    59	 0.246	    -0.091	     0.008	    -0.186	
    60	 0.250	    -0.091	     0.008	    -0.186	
    61	 0.254	    -0.091	     0.008	    -0.186	
    62	 0.258	    -0.091	     0.008	    -0.186	
    63	 0.262	    -0.091	     0.008	    -0.186	
    64	 0.267	    -0.090	     0.008	    -0.186	
    65	 0.271	    -0.091	     0.008	    -0.186	
    66	 0.275	    -0.091	     0.008	    -0.186	
    67	 0.279	    -0.090	     0.008	    -0.186	
    68	 0.283	    -0.091	     0.008	    -0.186	
    69	 0.287	    -0.090	     0.008	    -0.186	
    70	 0.292	    -0.091	     0.008	    -0.186	
    71	 0.296	    -0.090	     0.008	    -0.185	
    72	 0.300	    -0.091	     0.008	    -0.185	
    73	 0.304	    -0.091	     0.008	    -0.186	
    74	 0.308	    -0.090	     0.008	    -0.186	
    75	 0.313	    -0.091	     0.008	    -0.186	
    76	 0.317	    -0.091	     0.008	    -0.186	
    77	 0.321	    -0.090	     0.008	    -0.185	
    78	 0.325	    -0.091	     0.008	    -0.186	
    79	 0.329	    -0.091	     0.008	    -0.186	
    80	 0.333	    -0.091	     0.008	    -0.185	
    81	 0.338	    -0.091	     0.008	    -0.185	
    82	 0.342	    -0.091	     0.008	    -0.185	
    83	 0.346	    -0.091	     0.008	    -0.185	
    84	 0.350	    -0.091	     0.008	    -0.185	
    85	 0.354	    -0.091	     0.008	    -0.185	
    86	 0.358	    -0.091	     0.008	    -0.186	
    87	 0.363	    -0.091	     0.008	    -0.186	
    88	 0.367	    -0.091	     0.008	    -0.186	
    89	 0.371	    -0.091	     0.008	    -0.186	
    90	 0.375	    -0.091	     0.008	    -0.185	
    91	 0.379	    -0.090	     0.008	    -0.185	
    92	 0.383	    -0.091	     0.008	    -0.185	
    93	 0.387	    -0.091	     0.008	    -0.185	
    94	 0.392	    -0.091	     0.008	    -0.185	
    95	 0.396	    -0.091	     0.008	    -0.185	
    96	 0.400	    -0.091	     0.008	    -0.185	
    97	 0.404	    -0.091	     0.008	    -0.185	
    98	 0.408	    -0.091	     0.008	    -0.185	
    99	 0.412	    -0.091	     0.008	    -0.185	
   100	 0.417	    -0.091	     0.008	    -0.185	
   101	 0.421	    -0.091	     0.008	    -0.184	
