BTS ASCII format

Type:         	Force 3D tracks
Measure unit: 	N

Tracks:       	2
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
     0	 0.000	    22.452	   250.187	     1.043	     1.229	   284.110	     6.239	
     1	 0.004	    23.530	   250.176	     1.577	     0.698	   283.875	     5.156	
     2	 0.008	    22.991	   250.443	     1.043	     0.706	   285.131	     5.166	
     3	 0.013	    22.990	   250.189	     1.041	     1.770	   284.612	     6.247	
     4	 0.017	    22.992	   250.174	     1.579	     0.165	   283.880	     4.614	
     5	 0.021	    22.988	   249.924	     1.039	     0.703	   284.627	     5.162	
     6	 0.025	    22.991	   250.443	     1.043	     1.768	   284.360	     6.245	
     7	 0.029	    22.987	   249.664	     1.037	     1.229	   284.110	     6.239	
     8	 0.033	    21.913	   250.454	     0.510	     0.703	   284.627	     5.162	
     9	 0.038	    22.986	   249.399	     1.034	     1.776	   284.866	     5.711	
    10	 0.042	    22.989	   249.649	     1.574	     1.235	   285.116	     6.247	
    11	 0.046	    23.532	   250.430	     1.579	     0.701	   284.372	     5.160	
    12	 0.050	    22.989	   250.443	     0.505	     0.171	   284.880	     4.622	
    13	 0.054	    23.529	   250.441	     1.041	     1.235	   285.116	     6.247	
    14	 0.058	    22.990	   250.178	     1.041	     1.777	   285.861	     6.257	
    15	 0.063	    22.993	   250.698	     1.045	     2.312	   285.358	     6.258	
    16	 0.067	    22.995	   251.223	     1.050	     1.777	   285.115	     5.713	
    17	 0.071	    22.986	   249.918	     0.501	     1.776	   285.612	     6.255	
    18	 0.075	    22.995	   251.223	     1.050	     1.241	   285.369	     5.711	
    19	 0.079	    22.990	   250.708	     0.507	     1.776	   285.612	     6.255	
    20	 0.083	    22.998	   251.218	     1.588	     1.241	   285.369	     5.711	
    21	 0.087	    23.531	   250.695	     1.043	     1.777	   285.117	     5.713	
    22	 0.092	    22.995	   251.228	     1.050	     0.708	   285.377	     5.168	
    23	 0.096	    22.994	   250.957	     1.048	     1.242	   284.874	     5.169	
    24	 0.100	    21.917	   251.233	     0.517	     1.247	   285.625	     5.175	
    25	 0.104	    23.535	   250.955	     1.583	     0.705	   284.874	     5.164	
    26	 0.108	    22.994	   250.963	     1.048	     1.776	   285.612	     6.255	
    27	 0.112	    21.917	   250.709	     1.050	     1.776	   285.613	     6.255	
    28	 0.117	    22.994	   250.433	     1.581	     0.706	   285.128	     5.166	
    29	 0.121	    22.996	   250.964	     1.586	     0.703	   285.372	     5.706	
    30	 0.125	    22.994	   250.963	     1.048	     1.239	   285.115	     5.709	
    31	 0.129	    22.987	   249.659	     1.036	     0.700	   284.869	     5.702	
    32	 0.133	    22.455	   250.706	     1.048	     0.711	   285.879	     5.172	
    33	 0.138	    22.454	   250.177	     1.581	     2.314	   285.608	     6.260	
    34	 0.142	    23.530	   250.176	     1.577	     1.239	   285.116	     5.709	
    35	 0.146	    22.996	   250.964	     1.586	     0.170	   284.630	     4.620	
    36	 0.150	    23.536	   251.221	     1.585	     0.700	   285.620	     6.246	
    37	 0.154	    22.991	   250.443	     1.043	     1.249	   285.874	     5.177	
    38	 0.158	    22.992	   250.179	     1.579	     0.708	   285.373	     5.168	
    39	 0.162	    22.988	   250.183	     0.503	     0.706	   285.121	     5.166	
    40	 0.167	    22.456	   250.436	     1.584	     1.236	   285.360	     6.249	
